model,class,tp,fp,fn,gt,fixed_recall
YOLO11n,folding_knife,366,53,38,404,0.905940594059406
YOLO11n,straight_knife,162,32,73,235,0.6893617021276596
YOLO11n,scissor,359,11,9,368,0.9755434782608695
YOLO11n,utility_knife,298,53,45,343,0.8688046647230321
YOLO11n,multi_tool_knife,401,56,29,430,0.9325581395348838
+CGOA,folding_knife,366,49,38,404,0.905940594059406
+CGOA,straight_knife,159,35,76,235,0.676595744680851
+CGOA,scissor,362,10,6,368,0.9836956521739131
+CGOA,utility_knife,297,58,46,343,0.8658892128279884
+CGOA,multi_tool_knife,409,48,21,430,0.9511627906976744
XraySafe-YOLO final,folding_knife,378,42,26,404,0.9356435643564357
XraySafe-YOLO final,straight_knife,172,33,63,235,0.7319148936170212
XraySafe-YOLO final,scissor,364,7,4,368,0.9891304347826086
XraySafe-YOLO final,utility_knife,297,67,46,343,0.8658892128279884
XraySafe-YOLO final,multi_tool_knife,395,43,35,430,0.9186046511627907
